_RAJ2000,_DEJ2000,Name,MassBH,E_MassBH,e_MassBH,sigma,e_sigma,MassB,e_MassB,Mass*
213.291275,-65.3390194,Circinus                ,0.11,0.02,0.016,79,3,     ,     ,10.3
186.4450833,12.6620694,NGC 4388                ,0.73,0.02,0.02,99,10,9.77,0.22,10.5
69.2653403,24.9352419,J0437+2456              ,0.28,0.02,0.02,110,13,     ,     ,    
150.4911625,55.6798472,NGC 3079                ,0.25,0.028,0.028,145,7,     ,     ,10.8
194.1820667,21.6826583,NGC 4826                ,0.16,0.04,0.04,104,3,10.14,0.09,10.8
40.6696217,-0.0132944,NGC 1068                ,0.84,0.04,0.04,151,7,     ,     ,11.3
102.5361217,60.8457958,NGC 2273                ,0.86,0.05,0.04,125,9,9.88,0.12,10.8
34.2649083,5.2920783,Mrk 1029                ,0.19,0.06,0.06,132,15,     ,     ,    
196.3636625,-49.4679,NGC 4945                ,0.14,0.06,0.053,134,20,     ,     ,10.6
154.0779472,-33.5638111,IC2560                  ,0.5,0.07,0.4,141,10,     ,     ,10.9
180.7900422,44.5313008,NGC 4051                ,0.151,0.083,0.054,89,3,     ,     ,    
184.4790608,58.6598917,Mrk 202                 ,0.135,0.089,0.054,78,3,     ,     ,    
165.077285,13.9011683,NGC 3489                ,0.59,0.09,0.08,113,4,10.11,0.09,10.5
106.0875083,-21.5887111,ESO558-G009             ,1.7,0.1,0.1,170,20,     ,     ,    
213.0973333,-27.108085,NGC 5495                ,1,0.1,0.1,166,20,     ,     ,    
180.3098044,-3.6780597,Mrk 1310                ,0.214,0.102,0.069,84,5,     ,     ,    
10.6742708,40.8651694,M32                     ,0.24,0.11,0.1,77,3,9.05,0.1,9
186.2309722,11.7042067,NGC 4371                ,0.7,0.12,0.12,142,1,     ,     ,10.7
109.8787167,59.3551333,UGC3789                 ,0.96,0.14,0.15,107,12,     ,     ,10.9
193.0519378,-13.414795,NGC 4748                ,0.245,0.144,0.091,105,13,     ,     ,    
161.6906,11.8199389,NGC 3368                ,0.77,0.15,0.16,125,6,10.26,0.09,10.8
192.7211408,41.1202503,NGC 4736                ,0.68,0.15,0.16,120,6,10.13,0.1,10.6
184.6104847,29.8129256,NGC 4253                ,0.17,0.169,0.085,93,32,     ,     ,    
124.7431281,57.8030617,NGC 2549                ,1.4,0.2,1.09,145,7,9.71,0.09,10.2
171.4006417,54.3825317,Arp 151                 ,0.646,0.205,0.156,118,4,     ,     ,    
169.7404331,58.0565636,SBS 1116+583A           ,0.55,0.245,0.169,92,4,     ,     ,    
51.2028694,-3.0422561,NGC 1320                ,0.55,0.25,0.25,141,16,     ,     ,10.9
45.954635,-1.1037264,NGC 1194                ,7.1,0.3,0.3,148,24,10.39,0.2,10.9
345.8153083,8.8736889,NGC 7469                ,1.15,0.331,0.257,131,5,     ,     ,    
189.9143481,-5.3441764,NGC 4593                ,0.933,0.355,0.257,135,6,     ,     ,    
187.9964689,14.4203192,NGC 4501                ,2,0.37,0.37,157,2,     ,     ,11.2
